,date,open,high,low,close,vol,amount
2564,20100104,17.93,18.11,17.66,17.71,746135.58,1332370.091
2563,20100105,17.71,18.0,17.34,17.73,914013.73,1615349.974
2562,20100106,17.69,17.69,17.31,17.36,774277.06,1348702.948
2561,20100107,17.33,17.43,16.78,16.91,1019431.96,1742282.28
2560,20100108,16.88,16.98,16.68,16.91,803598.62,1351767.271
2559,20100111,17.88,17.91,16.8,16.94,1465692.5,2530625.181
2558,20100112,16.88,17.17,16.45,17.07,1121898.32,1879278.148
2557,20100113,16.52,16.7,15.97,16.15,2052232.76,3344313.047
2556,20100114,16.2,16.35,15.95,16.33,1247175.72,2011436.062
2555,20100115,16.27,16.46,16.03,16.31,873021.99,1417365.938
2554,20100118,16.1,16.29,15.99,16.18,960226.34,1546142.296
2553,20100119,16.22,16.4,16.16,16.25,984442.69,1601316.552
2552,20100120,16.29,16.31,15.82,15.86,1078806.28,1725434.301
2551,20100121,15.88,16.3,15.8,16.15,912858.13,1469683.734
2550,20100122,16.0,16.85,15.95,16.67,1944471.02,3191885.833
2549,20100125,16.39,16.79,16.15,16.23,956048.6,1565828.495
2548,20100126,16.23,16.36,15.9,16.09,973648.9,1565571.395
2547,20100127,16.11,16.17,15.4,15.44,1411065.41,2206603.674
2546,20100128,15.43,15.43,14.98,15.13,1114656.63,1690862.734
2545,20100129,15.0,15.5,14.94,15.17,923380.67,1411179.098
2544,20100201,15.19,15.42,14.86,15.29,871956.9,1313666.473
2543,20100202,15.4,15.88,15.31,15.63,1123238.04,1758471.919
2542,20100203,15.66,16.09,15.39,15.99,987548.82,1563011.931
2541,20100204,15.8,16.05,15.76,15.85,507177.79,805695.722
2540,20100205,15.6,15.74,15.29,15.48,556008.4,861379.137
2539,20100208,15.48,15.6,15.08,15.13,535139.64,815924.76
2538,20100209,15.15,15.39,15.11,15.31,429536.6,655032.98
2537,20100210,15.42,15.6,15.35,15.53,428959.05,664539.417
2536,20100211,15.58,15.71,15.49,15.56,388432.44,605445.056
2535,20100212,15.66,15.81,15.61,15.78,390076.63,614206.831
2534,20100222,15.7,15.95,15.53,15.73,375122.36,592096.519
2533,20100223,15.69,15.69,15.21,15.46,479831.22,738670.64
2532,20100224,15.27,15.56,15.2,15.55,406973.91,625196.032
2531,20100225,15.55,16.05,15.53,15.86,704463.88,1118873.396
